hour_of_day	day_of_week	is_weekend	review_length	user_elite	city	category	price_range	context_id
afternoon	3	0	long	1	Tucson	Restaurants	2	0
evening	1	0	medium	1	Saint Louis	Food	1	1
night	2	0	long	1	Philadelphia	Bars	2	2
night	2	0	long	1	Philadelphia	Food	2	3
night	1	0	long	0	Willow Grove	Food	1	4
afternoon	0	0	long	1	Philadelphia	Sports Bars	2	5
morning	2	0	medium	1	Saint Louis	Restaurants	2	6
night	1	0	medium	1	New Orleans	Food	2	7
night	2	0	medium	1	Saint Louis	Bars	1	8
evening	5	1	long	1	Philadelphia	Restaurants	1	9
evening	1	0	long	0	Philadelphia	Bars	2	10
evening	4	0	long	1	Saint Petersburg	Restaurants	2	11
afternoon	0	0	long	1	Philadelphia	Restaurants	2	12
afternoon	5	1	long	0	Indianapolis	Breakfast & Brunch	2	13
afternoon	2	0	short	1	Philadelphia	Restaurants	2	14
evening	0	0	long	1	New Orleans	Barbeque	2	15
morning	2	0	long	1	Saint Louis	Restaurants	2	16
night	6	1	short	0	Philadelphia	Sushi Bars	2	17
afternoon	2	0	long	1	Nashville	Restaurants	3	18
afternoon	2	0	long	1	Tampa	Restaurants	1	19
night	4	0	long	1	Indianapolis	Burgers	2	20
night	2	0	long	0	Reno	Bars	2	21
afternoon	2	0	long	1	Philadelphia	Sports Bars	2	22
night	6	1	long	1	Ballwin	Wine Bars	2	23
evening	6	1	long	0	Saint Louis	Cafes	2	24
evening	0	0	medium	1	New Orleans	Bars	3	25
night	0	0	long	1	Philadelphia	Restaurants	2	26
evening	4	0	long	0	New Orleans	Coffee & Tea	1	27
evening	6	1	short	0	St. Petersburg	Restaurants	2	28
night	3	0	long	1	Saint Louis	Restaurants	2	29
night	2	0	long	1	Philadelphia	Restaurants	3	30
night	6	1	long	1	Philadelphia	Bars	2	31
night	6	1	long	1	Nashville	Pizza	2	32
evening	5	1	medium	1	Reno	Bars	2	33
night	6	1	long	1	New Orleans	Restaurants	2	34
afternoon	3	0	medium	1	Doylestown	Restaurants	2	35
night	6	1	long	0	New Orleans	Restaurants	1	36
evening	0	0	medium	0	Philadelphia	Fast Food	1	37
afternoon	5	1	medium	0	Philadelphia	Restaurants	2	38
night	3	0	long	1	Philadelphia	Restaurants	2	39
night	4	0	long	1	Tucson	Restaurants	2	40
afternoon	0	0	long	1	New Orleans	Restaurants	2	41
evening	5	1	medium	1	Tucson	Restaurants	2	42
afternoon	0	0	medium	1	Saint Louis	Food	1	43
evening	5	1	long	0	Philadelphia	Barbers	2	44
evening	4	0	long	1	Philadelphia	Food	1	45
afternoon	0	0	medium	0	Haddon Township	Restaurants	1	46
afternoon	2	0	medium	0	Philadelphia	Food	1	47
night	2	0	long	1	University City	Restaurants	2	48
night	1	0	long	0	Tampa	Bars	2	49
night	0	0	long	0	Nashville	Restaurants	2	50
afternoon	1	0	long	1	New Orleans	Restaurants	3	51
night	3	0	medium	0	Speedway	Restaurants	2	52
afternoon	6	1	short	0	New Orleans	Restaurants	2	53
night	1	0	long	1	New Orleans	Restaurants	2	54
afternoon	4	0	long	1	Saint Ann	Restaurants	1	55
evening	2	0	medium	1	NASHVILLE	Food	2	56
evening	0	0	long	1	Tampa	Restaurants	3	57
morning	4	0	long	1	Franklin	Bars	3	58
afternoon	5	1	medium	0	Reno	Restaurants	2	59
evening	0	0	long	1	Harvey	Food	2	60
evening	1	0	long	1	Saint Louis	Pizza	2	61
night	2	0	long	1	Plymouth Meeting	Restaurants	2	62
afternoon	0	0	long	1	St Louis	Bars	2	63
evening	1	0	long	1	Saint Louis	Food	2	64
morning	3	0	long	1	Philadelphia	Restaurants	2	65
night	3	0	short	0	Franklin	Restaurants	2	66
evening	1	0	long	1	New Orleans	Restaurants	1	67
afternoon	2	0	long	1	Philadelphia	Restaurants	2	68
afternoon	0	0	medium	1	Goleta	Fast Food	2	69
evening	1	0	long	1	Nashville	Restaurants	2	70
afternoon	0	0	short	1	Santa Barbara	Sushi Bars	3	71
evening	6	1	long	1	Philadelphia	Food	2	72
morning	5	1	long	0	New Orleans	Breakfast & Brunch	1	73
afternoon	6	1	long	0	Philadelphia	Restaurants	2	74
afternoon	3	0	short	0	Nashville	Food	2	75
morning	4	0	long	0	Brentwood	Food	2	76
afternoon	1	0	long	1	Philadelphia	Restaurants	1	77
afternoon	2	0	long	1	New Orleans	Bars	2	78
evening	2	0	long	0	Tampa	Specialty Food	2	79
evening	5	1	medium	0	Nashville	Restaurants	2	80
