business_id	hour_of_day	day_of_week	is_weekend	user_elite	review_length	user_experience	city	category	price_range	alcohol	outdoor_seating
-0Ym1Wg3bXd_TDz8JtvOQg	night	6	1	1	long	high	Edmonton	Food	2	0	0
-1MhPXk1FglglUAmuPLIGg	afternoon	1	0	1	long	high	Tucson	Nightlife	1	1	1
-2ke_JDOpgTZWqirMFjZcw	night	4	0	1	medium	high	Beech Grove	Karaoke	1	1	0
-3AooxIkg38UyUdlz5oXdw	evening	4	0	0	long	high	Santa Barbara	Event Planning & Services	2	1	1
-4dYswJy7SPcbcERvitmIg	evening	1	0	1	medium	high	Philadelphia	Food	2	0	0
-6OjnX3ZdDOhHxWR60wysg	evening	6	1	1	long	high	Saint Louis	Burgers	2	1	1
-6TttC-1-rf5gC0QHWrs_w	afternoon	3	0	1	short	high	Terrytown	Restaurants	1	1	0
-7GDqSUaXrpC8Ql7nDBxWA	afternoon	2	0	1	long	high	Bala Cynwyd	Nightlife	4	1	0
-9yzQQ0d_rcOD2CzdTNO_Q	evening	0	0	0	medium	high	New Orleans	Fast Food	1	0	0
-ATiAtTikuGuqvaW2O6tNA	evening	6	0	1	long	high	Philadelphia	Sandwiches	2	1	1
-B7E8MFb47FoGcp25lXgxw	morning	5	1	1	long	high	Indianapolis	American (Traditional)	1	1	1
-CLLdRWg2JJ6QUVj33HYNg	evening	5	1	0	long	high	Harahan	Seafood	2	1	0
-CRjqZ4GxZ6lIa_qMj7-yw	afternoon	2	0	1	long	high	Philadelphia	Chinese	1	1	0
-D_L4GHXJQvy2wv0RkrupA	evening	3	0	0	long	high	St. Louis	American (Traditional)	1	0	0
-HMt-jXxUNBIkO8IUOtE-g	evening	0	0	1	medium	high	St Pete Beach	Ice Cream & Frozen Yogurt	2	0	0
-If0ps0QhOLCYVWQWs9RYg	afternoon	0	0	1	long	high	New Orleans	Restaurants	1	0	1
-JStjL-8mRZq4ov4uI1FaQ	morning	4	0	0	medium	high	Dublin	Restaurants	2	0	0
-K0zTgGyxo-AeSkcV0IVaA	afternoon	3	0	1	long	high	Chesterfield	Mediterranean	2	1	1
-Lz1eG1xyHk634wVzBD83g	afternoon	0	0	1	long	high	Plainfield	Ice Cream & Frozen Yogurt	1	0	0
-MnKKFnVjphA-yUzIMv0ew	night	4	0	1	medium	high	Nashville	Food	1	0	0
-OIUunijjcq_ZzyyQhPPFQ	evening	5	0	1	long	high	Philadelphia	Restaurants	2	0	0
-Or44IdY51Ukd618kikmtA	evening	0	0	1	long	high	Philadelphia	Restaurants	1	1	1
-Tnsc_b8dsWuAq1wQugKZA	night	4	0	1	long	high	Indianapolis	Restaurants	2	1	0
-V0vIgo6196MDn_x3ZaYmA	night	1	0	1	long	high	Philadelphia	Restaurants	2	0	0
-VGUpTEsCUE9gJk50gbU6w	afternoon	6	1	1	long	high	Philadelphia	Airports	2	0	0
-WgD54ji0_MgHWgf9WBXrQ	afternoon	4	0	1	long	high	New Orleans	Middle Eastern	1	0	0
-YjlbpEMGw_6VHAYH8gnCQ	afternoon	0	0	1	long	high	Franklin	Noodles	1	0	1
-b7A7e2zh3CDTpgChRoRKw	night	5	1	1	medium	high	Tampa	Restaurants	2	1	0
-bGw8ARHQucKWEHEkxpGFw	afternoon	1	0	0	long	high	St. Louis	Bakeries	1	0	1
-d8B04ueyxADRutlcHYewQ	afternoon	0	0	1	long	high	Doylestown	American (New)	2	0	1
-eBDRVn1mPwHFCF_hry20Q	afternoon	6	1	0	short	high	Tampa	Sandwiches	1	1	0
-eLCHvtz99fc985UNL1rTA	afternoon	1	0	1	long	high	Indianapolis	Restaurants	2	1	0
-gZPRSuaHJG7PYHAGFmqdQ	afternoon	0	0	0	medium	high	Brandon	Nightlife	2	1	0
-gx2zqPkSs-7aGZ01bDb7A	afternoon	0	0	0	long	high	Indianapolis	Sports Bars	2	1	1
-ikBycdroyTLDBHR9aC3HA	afternoon	5	1	0	long	high	Nashville	Thai	2	1	0
-kAaeJxXCtLNAo3DosoXXA	afternoon	5	1	0	long	high	Saint Petersburg	Diners	1	1	0
-kGUmgyeYcNDcuEr4FoVeA	night	0	1	1	medium	high	Sparks	Pizza	2	1	1
-kY_HDP7IMvGl-kBIZVU4A	night	4	0	1	medium	high	Santa Barbara	Coffee & Tea	2	0	0
-ksLHy9XXZVYuIVowdRc_w	night	4	0	1	long	high	Carmel	American (New)	2	1	1
-lhHSR1Aws4CyYC1XOPVTw	night	2	0	1	medium	high	Tampa	Greek	2	1	1
-mq1DwgcLU96PQbmcv3jRQ	afternoon	0	0	1	long	high	Indian Rocks Beach	Nightlife	2	1	1
-nXZLIhPQcYYJiLI3weqGQ	night	3	0	1	long	high	Pennington	Food	2	0	0
-o6bah2j6_IH9pkwANXcLA	afternoon	4	0	0	long	high	Palm Harbor	Restaurants	2	1	1
-pRU97z3uPU_M7yUf5yzMg	night	5	1	1	long	high	Tucson	Event Planning & Services	2	1	0
-rTJCKclkU_ZnoQb4oKa9w	evening	4	0	1	long	high	Saint Petersburg	Breakfast & Brunch	1	0	0
-sRtgVuwRz7JJQaHiLV9zw	afternoon	6	1	1	medium	high	Philadelphia	Coffee & Tea	1	0	0
-sSGKR1V1oBm7BJicIXozg	afternoon	0	0	0	long	high	Downingtown	Gluten-Free	2	1	1
-t9AIWJbQbpVKTV8Xoa5fw	afternoon	2	0	1	long	high	Upper Darby	American (New)	2	0	1
-ui0RWrHmm4DQPFMVh2_Yw	afternoon	4	0	0	long	high	Edmonton	Japanese	2	1	0
-xzkqW1y4L9PTAPJjJu3yQ	afternoon	2	0	1	long	high	Indianapolis	Italian	2	0	0
-y5vYOsyL4bSFxeOtQtYbg	night	0	0	1	long	high	Tucson	Delis	2	1	1
-yCrdNTk4RzUax2FJusa5g	evening	2	0	1	long	high	Saint Louis	Asian Fusion	2	1	0
00szsg8vQy6yX5f-m9sI4A	afternoon	1	0	1	long	high	Buckingham	Grocery	2	0	0
01Vnpln40zgSK6H6pAcd5Q	afternoon	6	1	1	long	high	Boise	Breakfast & Brunch	2	1	1
02jZC7oX0SbWXVFboNwFGA	night	0	0	1	medium	high	King of Prussia	Food	1	0	0
04UD14gamNjLY0IDYVhHJg	night	1	0	1	medium	high	Philadelphia	Mediterranean	2	1	0
09za1h1fdeF9rTSviTV3zg	evening	1	0	1	medium	high	Lansdale	Vegan	2	0	1
0AQJ-QTu7GtxaP4SoD07yA	evening	5	0	1	medium	high	New Orleans	Ice Cream & Frozen Yogurt	1	0	0
0BNR2_vrxuXG6I7f3Y6LZQ	night	2	0	1	long	high	NASHVILLE	Food	2	0	0
0CLCzdedGT2DPjkYM52Tqg	afternoon	2	0	1	long	high	Edmonton	American (Traditional)	2	1	1
0CeDwvLyRVgr-fq-DHk1sQ	afternoon	0	0	0	medium	high	St. Louis	American (New)	1	1	0
0F2jyiUdl8CSKQeR1KwVig	morning	2	0	1	long	high	Hatboro	Food	1	1	0
0GsYSmfpsUpnTnxYbH045A	night	0	0	0	medium	high	Sparks	American (New)	1	0	0
0HCMp7WxB7ZWtoVl5qGl1A	afternoon	4	0	1	long	high	Saint Louis	Restaurants	1	0	0
0IG9w6YCkh-z5pnfSip6Nw	evening	5	1	1	medium	high	Edmonton	Chinese	2	1	1
0JPi9cyV9i3_kDPj049_qQ	afternoon	4	0	1	long	high	Warminster	Mexican	1	0	0
0JoB3ThhI-DS78-1Ks1EUQ	evening	0	0	0	long	high	Philadelphia	Sushi Bars	1	0	0
0Kn5W22UmxOqPj2cjouFNA	night	1	0	0	long	low	Tucson	Restaurants	1	0	1
0NkRPv4QdGubH4xVD1DuNA	afternoon	2	0	1	long	high	Haddonfield	Food	1	0	1
0YiRkVMR2cg17hk9u6nGhg	morning	2	0	0	long	high	Saint Louis	Restaurants	2	0	0
0_gh-ZRllduRLrjaYy0Icg	night	6	1	0	short	high	Narberth	Gas Stations	1	0	0
0bPLkL0QhhPO5kt1_EXmNQ	afternoon	5	1	0	short	high	Largo	Food	1	0	0
0cB1kDuZCvSwpJrNdtQP8Q	afternoon	4	0	1	long	high	Indianapolis	Restaurants	2	1	1
0hCrds3sgFAYzsZolg3jcg	night	3	0	1	long	high	Tampa	Head Shops	2	1	0
0hIXH9jMdHov1VrLC8ujUg	afternoon	5	1	1	long	high	Tampa	American (Traditional)	2	1	1
0l0R_1x2RC8pEwP-OG6UxA	afternoon	0	0	0	medium	high	TAMPA	Restaurants	2	0	0
0ndzIekJs0PRPA5Aoz9sow	afternoon	2	0	1	long	high	Metairie	Coffee & Tea	1	0	0
0oogOBGXNj39Wnl2SKoe0w	afternoon	5	1	0	long	high	Port Richey	Restaurants	1	0	0
0qu0fNTOsSmuREYVIMPuIQ	evening	4	0	0	long	high	Santa Barbara	American (Traditional)	2	1	1
0s8M7TmzxKfAibuBmm2uYw	evening	0	0	1	medium	high	Franklin	Bakeries	2	0	1
0vCsslN-TYnDeOSNT4rIfg	afternoon	0	0	1	long	high	Carmel	Food	3	0	0
0wHR5cCTKdCmimhp02cQFA	evening	0	0	1	long	high	Sunset Hills	Food Delivery Services	1	0	1
0wIZdTqdL2LTPkv0avHPeA	evening	1	0	0	long	high	Bridgeton	Restaurants	2	1	1
0wQCEcpZ57TmTm6EmEDsIw	evening	3	0	1	long	high	St Charles	Food	2	1	1
0yGH62WGQy_W3JoR6L5Kew	night	5	1	1	long	high	New Orleans	Ice Cream & Frozen Yogurt	1	0	0
0z-unL2UdJn40PYiou2bnQ	night	2	0	1	long	high	Palmyra	Restaurants	2	0	0
0z1VO3Js0NdTOKLYDa15zw	afternoon	4	0	0	long	high	Indianapolis	Asian Fusion	2	0	0
0zH0l4Jbf-oove3cLvrFOg	afternoon	5	0	1	long	high	Newtown	American (New)	2	0	1
0zWAsCBzvuCI_Ydx7yH1Jw	evening	6	1	1	long	high	Philadelphia	Noodles	2	1	0
0zf4KKZqbqoxiuKzeZLDdg	night	1	0	1	long	high	Philadelphia	Italian	1	0	0
1-OSwGhAUi7w9T4Ru-IRjA	night	4	0	1	long	high	Philadelphia	Event Planning & Services	2	0	0
1-z7wd860Rii4kbEMCT8DA	afternoon	0	0	1	long	high	Boise	Breakfast & Brunch	2	1	0
10MHfI2mRKGJu_Vbm64pkQ	morning	6	1	1	long	high	Clearwater	Mexican	2	1	1
10wt8eSXI_PZfl9dRIiWmg	night	1	0	1	medium	high	Philadelphia	Pakistani	2	0	0
