user_id,business_id,stars,date,hour_of_day,day_of_week,is_weekend,user_elite,review_length,user_experience,city,category,price_range,alcohol,outdoor_seating
n-lBS02-3yvlY5Q91mmwDA,eJYvM2Zy5BloOYGldWmAVw,4.0,2005-07-10 05:44:25,night,6,1,1,medium,high,New Orleans,Food,1,0,1
n-lBS02-3yvlY5Q91mmwDA,0ndzIekJs0PRPA5Aoz9sow,4.0,2005-07-10 05:58:26,night,6,1,1,short,high,Metairie,Coffee & Tea,1,0,0
n-lBS02-3yvlY5Q91mmwDA,xkgbgwTlkhzwo4ya_eIW-g,3.0,2005-07-10 06:00:20,night,6,1,1,medium,high,Metairie,Coffee & Tea,1,0,1
n-lBS02-3yvlY5Q91mmwDA,ompDR5sUDpoI6gnTldmneQ,4.0,2005-07-10 16:46:05,afternoon,6,1,1,medium,high,New Orleans,Seafood,2,1,0
n-lBS02-3yvlY5Q91mmwDA,pym7c6ZFEtmoH16xN2ApBg,3.0,2005-07-10 21:25:46,evening,6,1,1,medium,high,New Orleans,Restaurants,2,1,1
n-lBS02-3yvlY5Q91mmwDA,ahc6Wx3A9tmoHCtad_z3wg,4.0,2005-07-10 21:29:29,evening,6,1,1,medium,high,New Orleans,Arts & Entertainment,1,1,1
n-lBS02-3yvlY5Q91mmwDA,Y2NFeGtConx1qciSPKcRlA,4.0,2005-07-24 20:49:51,evening,6,1,1,medium,high,New Orleans,Restaurants,2,1,1
3W-lOOaIVQZONZP83kab6g,1Pxg1AMf0rEn9QF__ZYoWw,4.0,2005-09-06 17:57:13,afternoon,1,0,0,medium,high,Nashville,Japanese,2,1,0
jTXj5uf5ER5siDnQK_y4aA,pj8Y-5vfbRitnnm2xJFH9w,3.0,2005-09-06 22:37:28,evening,1,0,1,medium,high,Philadelphia,Caribbean,2,1,1
jTXj5uf5ER5siDnQK_y4aA,sdWuLh-auc0nC2Jy6_26AQ,4.0,2005-09-06 22:42:58,evening,1,0,1,medium,high,Philadelphia,Bars,2,1,0
jTXj5uf5ER5siDnQK_y4aA,3lBooCffgkW7tVSG5kILBA,3.0,2005-11-07 13:56:05,afternoon,0,0,1,medium,high,Philadelphia,Restaurants,2,0,0
jTXj5uf5ER5siDnQK_y4aA,d_tRshM-w6S4QxE4VVi8tQ,4.0,2005-12-19 18:51:01,afternoon,0,0,1,medium,high,Philadelphia,American (New),2,1,0
3xX-Et9I4Bi4wdRPWJkAFg,hRHhP3fhMy3LktPyQa3s_A,2.0,2005-12-29 20:48:19,evening,3,0,1,medium,high,Saint Louis,Restaurants,2,1,1
3xX-Et9I4Bi4wdRPWJkAFg,lj-E32x9_FA7GmUrBGBEWg,4.0,2006-01-03 02:37:12,night,1,0,1,medium,high,St Louis,Bars,2,1,1
FZQXGfmkMASFWq3JnuQZqg,TV81bpCQ6p6o4Hau5hk-zw,4.0,2006-01-20 05:34:47,night,4,0,1,medium,high,Tarpon Springs,Food,2,1,1
TDXV6AC5PYOZEyN9eeODfA,fNTxUyPUJNIbS7_7kiKnGQ,3.0,2006-01-20 15:48:54,afternoon,4,0,1,medium,high,Palm Harbor,Restaurants,1,1,1
jTXj5uf5ER5siDnQK_y4aA,wUnLSg_GKfEIQ5CQQ770_g,3.0,2006-01-21 22:08:33,evening,5,1,1,long,high,Philadelphia,Italian,4,1,1
3xX-Et9I4Bi4wdRPWJkAFg,B-NqcrIhvzCIkLCCpmhdvg,4.0,2006-01-30 01:04:56,night,0,0,1,medium,high,Saint Louis,Food,1,0,1
mZokz37TaR5jFgMrx4WyFw,bbEXAEFr4RYHLlZ-HFssTA,5.0,2006-02-02 06:36:06,night,3,0,0,medium,high,Goleta,Fast Food,2,0,1
mZokz37TaR5jFgMrx4WyFw,0qu0fNTOsSmuREYVIMPuIQ,5.0,2006-02-05 23:04:17,evening,6,1,0,long,high,Santa Barbara,American (Traditional),2,1,1
3xX-Et9I4Bi4wdRPWJkAFg,KA9WEoGHr9Ae0pFXZqzylQ,4.0,2006-02-19 21:50:54,evening,6,1,1,short,high,Saint Louis,Dance Clubs,2,1,1
3xX-Et9I4Bi4wdRPWJkAFg,CLt1k_vtdU962GZGl5U48g,5.0,2006-03-26 02:34:38,night,6,1,1,medium,high,Saint Louis,Restaurants,2,1,1
3xX-Et9I4Bi4wdRPWJkAFg,EvZxyqrR2xej3CT14pLa7w,5.0,2006-03-26 02:47:31,night,6,1,1,long,high,Saint Louis,Restaurants,3,1,1
jTXj5uf5ER5siDnQK_y4aA,W4ZEKkva9HpAdZG88juwyQ,5.0,2006-04-02 18:17:55,afternoon,6,1,1,medium,high,New Orleans,Bars,3,1,0
jTXj5uf5ER5siDnQK_y4aA,9nkYaCQRyO0fi8SrXDFhGw,2.0,2006-04-02 22:21:34,evening,6,1,1,long,high,Philadelphia,Food,3,0,0
26YpEJpa4uwJ60ezG9MIfQ,5cpiSREZioyiHVHXJ9WRqA,4.0,2006-04-19 17:09:28,afternoon,2,0,1,long,high,Nashville,Restaurants,1,0,0
26YpEJpa4uwJ60ezG9MIfQ,0BNR2_vrxuXG6I7f3Y6LZQ,5.0,2006-04-19 22:04:56,evening,2,0,1,medium,high,NASHVILLE,Food,2,0,0
