item_id:token	hour_of_day	day_of_week	is_weekend	season	time_slot	user_elite	user_experience	city	category	price_range	alcohol	outdoor_seating
0	16	3	0	1	0	0	2	7	16	1	2	0
1	8	1	0	1	1	1	1	463	505	2	2	0
2	19	0	0	2	1	0	2	502	571	2	2	0
3	1	4	0	3	3	0	2	125	241	2	2	0
4	15	0	0	1	0	0	2	370	174	1	2	0
5	1	2	0	3	3	0	2	502	432	1	1	1
6	21	5	1	3	3	0	3	440	55	1	2	0
7	23	0	0	3	3	0	2	391	317	2	2	0
8	0	5	1	2	3	0	2	203	272	1	2	0
9	13	4	0	3	0	0	3	218	221	1	2	0
10	15	0	0	1	3	0	3	20	348	1	1	0
11	21	6	0	4	3	0	2	419	214	2	1	1
12	16	0	0	2	0	0	1	296	294	2	2	0
13	2	6	0	2	0	0	2	5	241	1	2	0
14	16	3	0	1	0	0	1	37	570	3	2	0
15	2	3	0	3	3	0	2	33	543	1	2	1
16	16	4	0	3	0	0	2	436	241	2	2	0
17	20	2	0	2	1	0	2	370	241	2	2	0
18	0	4	0	2	3	0	2	267	43	2	2	0
19	13	5	1	3	0	0	0	478	164	2	2	0
20	13	2	0	2	0	0	3	478	445	2	2	0
21	17	6	0	4	3	0	2	125	134	2	1	0
22	17	3	0	3	1	0	3	502	627	2	2	0
23	17	3	0	2	3	0	1	414	90	2	1	1
24	2	3	0	1	3	0	1	484	543	1	0	0
25	4	1	0	2	3	0	2	76	284	2	2	0
26	0	0	0	1	3	0	3	15	432	4	1	0
27	18	0	0	3	3	0	0	478	51	2	1	1
28	2	0	0	2	3	0	3	72	90	1	2	0
29	14	0	0	3	0	1	1	556	16	1	2	0
30	13	1	0	1	0	0	0	328	223	1	2	0
31	19	6	0	3	3	0	2	370	550	2	1	1
32	12	0	0	2	0	0	2	502	556	2	2	0
33	6	2	0	1	0	0	0	125	223	1	2	0
34	11	4	0	2	0	0	3	478	124	2	2	0
35	22	5	1	3	3	0	2	429	382	3	2	0
36	12	0	0	3	0	0	1	218	16	1	1	1
37	2	2	0	3	3	0	0	324	37	2	2	0
38	2	5	1	1	3	0	3	478	309	2	2	0
39	20	2	0	1	1	0	3	370	546	2	2	0
40	21	1	0	3	0	0	3	370	55	2	2	0
41	2	5	1	3	3	0	0	194	553	2	1	0
42	17	3	0	2	3	0	0	370	123	1	2	0
43	22	5	1	3	3	0	3	341	31	1	2	0
44	21	3	0	4	3	0	1	125	469	2	2	0
45	15	5	0	2	3	0	3	502	318	2	2	0
46	13	5	0	3	0	0	2	218	43	2	2	0
47	4	0	0	1	3	0	0	502	553	1	1	0
48	21	3	1	1	3	0	1	461	16	1	2	0
49	0	1	0	2	3	0	2	419	19	2	2	0
50	17	4	0	3	1	0	3	37	419	2	2	0
51	2	1	0	3	3	0	2	419	243	2	0	1
52	4	5	1	1	0	0	2	43	241	1	2	0
53	0	5	1	2	3	0	1	456	322	2	2	0
54	2	2	0	1	3	0	0	328	317	2	2	0
55	23	0	0	3	3	1	0	478	496	1	2	0
56	16	2	0	3	3	0	2	419	437	2	2	0
57	21	4	0	2	3	0	2	297	241	2	2	0
58	1	3	0	2	3	0	2	328	543	1	2	1
59	17	4	0	1	1	0	3	246	186	2	2	0
60	1	6	1	1	0	0	0	414	51	2	1	0
61	23	5	0	1	3	0	2	112	543	2	2	0
62	1	4	0	3	3	0	2	76	397	2	1	1
63	6	3	0	3	2	0	2	412	340	1	2	0
64	1	4	0	2	3	0	0	9	15	2	1	1
65	0	0	0	2	3	0	1	414	318	2	2	0
66	5	3	0	3	3	0	2	377	322	1	2	0
67	0	1	0	3	3	1	1	414	255	3	2	0
68	6	5	1	1	1	0	1	416	16	2	1	1
69	17	4	0	3	1	0	2	478	42	2	2	0
70	0	2	0	1	3	0	1	324	241	1	2	0
71	23	6	0	4	3	0	2	419	55	2	2	0
72	2	1	0	1	0	0	0	518	222	3	2	0
73	2	6	0	3	3	0	2	370	543	2	2	0
74	22	3	0	4	3	0	2	69	281	2	2	0
75	16	2	0	1	0	0	3	330	43	2	2	0
76	16	4	0	2	0	0	3	159	285	2	2	0
77	1	1	0	1	3	0	0	414	550	1	2	0
78	20	1	0	1	3	0	2	502	487	2	2	0
79	16	0	0	3	1	0	2	370	543	1	2	1
80	3	6	0	2	1	0	3	478	284	1	2	0
81	1	3	0	2	3	0	3	184	115	1	2	1
82	13	3	0	3	0	0	2	125	283	2	2	0
83	16	3	0	1	0	0	2	370	510	2	2	0
84	20	0	0	1	0	0	2	502	175	2	2	0
85	14	0	0	2	1	1	0	370	241	2	2	0
86	1	4	0	2	3	1	1	478	174	2	2	0
87	17	0	0	1	3	0	3	450	378	2	2	0
88	1	0	0	2	3	0	2	419	489	2	2	0
89	1	2	0	1	3	0	2	30	167	2	2	0
90	22	6	0	3	3	0	2	463	432	2	1	1
91	18	1	0	3	1	0	2	37	550	1	2	1
92	1	5	0	3	3	0	2	218	543	2	1	0
93	22	2	0	3	3	0	2	224	22	2	2	0
94	18	0	0	1	1	0	0	324	222	2	2	0
95	22	6	0	2	3	0	2	370	543	2	2	0
96	20	6	1	1	1	0	2	438	571	2	2	0
97	18	3	0	2	1	0	3	416	236	2	2	0
98	16	0	0	2	1	0	2	370	12	2	2	0
99	4	1	0	4	0	1	1	383	571	2	2	0
100	4	1	0	2	3	0	0	328	402	1	2	0
101	18	0	0	1	1	0	0	159	433	1	2	1
102	14	3	0	3	0	0	2	296	304	2	2	0
103	16	1	0	1	0	0	3	414	42	2	2	0
104	22	1	0	2	0	0	0	377	306	2	2	0
105	19	1	0	2	3	0	2	457	101	2	2	0
106	4	0	0	3	0	0	2	532	101	2	2	0
107	14	3	0	3	0	0	0	370	91	2	2	0
108	1	5	0	3	3	0	2	478	543	2	0	0
109	17	2	0	2	1	0	2	461	46	1	2	1
110	0	2	0	2	3	0	3	511	347	2	2	0
111	7	2	0	2	0	0	2	502	571	3	2	0
112	0	0	0	1	3	0	3	296	28	2	2	0
113	18	4	0	3	0	0	2	324	294	2	2	0
114	21	6	0	4	3	0	2	566	241	1	2	0
115	1	6	0	2	3	0	0	218	33	2	2	0
116	21	5	0	4	3	0	0	310	81	2	2	0
117	18	3	0	2	1	1	0	565	284	2	2	0
118	17	0	0	2	3	0	2	108	15	2	2	1
119	11	3	0	1	1	0	0	527	561	2	2	0
120	12	4	0	1	0	0	0	73	543	1	2	0
121	18	5	0	2	1	0	2	293	543	1	2	1
122	2	1	0	4	3	0	2	45	496	1	2	0
123	6	6	0	2	3	0	3	414	423	2	1	1
124	21	6	1	1	0	0	2	478	550	1	2	0
125	0	0	0	1	3	0	2	218	543	2	1	0
126	2	0	0	3	1	0	2	293	17	2	2	0
127	1	0	0	4	3	1	1	37	201	2	2	0
128	23	5	0	1	3	0	2	43	432	2	1	0
129	19	2	0	3	1	0	1	125	477	2	2	0
130	13	3	0	1	0	0	2	327	587	2	2	0
131	17	0	0	2	3	0	0	218	591	2	1	1
132	2	5	0	3	3	0	2	391	51	2	1	0
133	1	3	0	1	3	0	2	565	324	2	0	0
134	1	2	0	3	3	0	2	324	625	2	0	0
135	20	4	0	4	1	1	1	419	661	2	2	0
136	1	3	0	4	1	0	3	82	426	2	2	0
137	1	0	0	2	0	0	2	478	420	2	2	0
138	3	0	0	1	3	1	1	45	483	2	2	0
139	19	5	0	1	3	0	2	416	179	1	0	0
140	4	0	0	3	3	0	2	444	496	2	1	1
141	17	5	0	1	3	0	2	419	130	2	2	0
