user_id	item_id	rating	hour_of_day	day_of_week	is_weekend	season	time_slot	user_elite	user_experience	city	category	price_range	alcohol	outdoor_seating
113813	6160	3.0	22	5	1	3	3	0	2	341	543	2	2	1
57968	1493	5.0	15	1	0	1	0	0	2	370	3	2	2	0
21684	6420	3.0	20	2	0	1	1	1	1	502	543	1	2	0
83498	8752	5.0	0	6	1	1	3	0	3	370	287	2	2	0
89023	7542	4.0	20	5	1	1	1	0	0	328	550	2	1	1
95433	211	1.0	23	2	0	3	3	0	3	370	397	2	2	0
123615	8004	5.0	23	5	1	1	3	0	0	328	604	2	2	0
140782	4020	5.0	2	4	0	3	3	0	3	388	58	2	1	0
135706	2199	3.0	22	2	0	1	3	0	2	419	463	2	2	0
13955	7981	3.0	7	0	0	3	2	0	2	419	598	2	0	0
5666	10435	5.0	14	6	1	2	0	0	2	478	571	2	2	0
82292	2776	4.0	14	2	0	3	0	0	2	218	57	2	1	1
23259	8867	4.0	22	4	0	2	3	1	0	454	51	2	1	1
127391	5093	4.0	19	2	0	4	1	0	0	370	496	2	1	1
12441	9406	4.0	17	3	0	4	1	1	0	502	543	2	1	1
4936	2263	5.0	16	5	1	4	0	0	3	478	550	1	2	1
32721	6450	5.0	11	0	0	2	2	0	3	370	690	3	1	0
105697	9825	4.0	19	6	1	3	1	1	0	414	690	2	1	1
54013	2413	5.0	0	0	0	1	3	0	2	478	382	2	2	0
43445	7574	5.0	15	2	0	4	0	1	0	370	241	1	2	1
57338	9158	5.0	19	1	0	4	1	1	1	414	322	1	2	0
74527	10515	3.0	14	2	0	4	0	0	0	61	432	2	0	1
134368	9928	5.0	16	1	0	4	0	0	0	370	472	1	2	0
57320	10570	4.0	3	2	0	3	3	0	2	63	543	2	0	0
64695	7234	4.0	3	1	0	3	3	1	1	218	543	1	2	1
143292	7157	4.0	19	0	0	2	1	0	2	445	15	2	1	1
91583	10932	5.0	15	3	0	3	0	0	2	372	625	2	2	0
138042	5180	3.0	0	1	0	4	3	0	2	328	95	2	1	1
113072	4209	5.0	2	0	0	4	3	0	2	52	214	2	1	1
1913	8905	2.0	4	0	0	1	3	0	3	324	129	2	1	0
46346	7058	5.0	13	6	1	1	0	0	0	123	543	2	2	1
12906	7098	5.0	3	0	0	1	3	1	1	179	223	2	2	1
62587	332	5.0	13	4	0	2	0	0	2	339	241	1	2	0
139818	6108	5.0	14	5	1	2	0	0	3	391	42	2	2	0
9910	1731	4.0	19	3	0	4	1	1	1	324	241	2	2	0
88180	3483	5.0	22	3	0	4	3	0	2	419	241	2	2	1
